Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index ,Matches
Edwards R,Australia,10.76%,3,3,0,1,0,0,57,69,66.99,23.00,0,0,0194,Away,03
Wood B,England,2.96%,1,1,0,0,0,0,19,19,63.33,19.00,2,0,0194,Home,03
Close D B,England,7.63%,3,3,0,0,0,0,43,49,98.00,16.33,1,0,0194,Home,03
Mallett A A,Australia,2.18%,3,2,1,0,0,0,8,14,40.00,14.00,2,0,0194,Away,03
Lillee D K,Australia,2.03%,3,1,0,0,0,0,13,13,81.25,13.00,0,0,0194,Away,03
Watson G D,Australia,1.72%,2,2,1,0,0,1,11*,11,68.75,11.00,0,0,0194,Away,03
Walters K D,Australia,2.65%,2,2,0,0,0,0,15,17,65.38,8.50,0,0,0194,Away,03
Marsh R W,Australia,2.65%,3,3,1,0,0,1,11,17,53.13,8.50,5,1,0194,Away,03
D'Oliveira B L,England,2.02%,3,3,1,0,0,0,6,13,48.15,6.50,1,0,0194,Home,03
Woolmer R A,England,1.40%,3,2,0,0,0,1,9,9,75.00,4.50,1,0,0194,Home,03
Snow J A,England,0.78%,3,2,2,0,0,0,5*,5,45.45,-,0,0,0194,Home,03
Arnold G G,England,1.71%,3,1,1,0,0,0,11*,11,91.67,-,0,0,0194,Home,03
Colley D J,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0194,Away,03
Massie R A L,Australia,2.50%,3,1,1,0,0,0,16*,16,66.67,-,1,0,0194,Away,03
Hammond J R,Australia,2.34%,1,1,1,0,0,0,15*,15,53.57,-,0,0,0194,Away,03
Lloyd D,England,25.65%,1,1,0,0,0,0,49,49,51.58,49.00,0,0,0201,Away,01
Amiss D L,England,24.61%,1,1,0,0,0,0,47,47,87.04,47.00,0,0,0201,Away,01
Chappell G S,Australia,23.16%,1,1,0,0,0,0,44,44,88.00,44.00,0,0,0201,Home,01
Chappell I M,Australia,22.11%,1,1,0,0,0,0,42,42,85.71,42.00,0,0,0201,Home,01
Fletcher K W R,England,16.23%,1,1,0,0,0,0,31,31,64.58,31.00,1,0,0201,Away,01
Edwards R,Australia,10.53%,1,1,0,0,0,0,20,20,52.63,20.00,0,0,0201,Home,01
Walker M H N,Australia,10.53%,1,1,0,0,0,0,20,20,57.14,20.00,1,0,0201,Home,01
Walters K D,Australia,9.47%,1,1,0,0,0,0,18,18,90.00,18.00,0,0,0201,Home,01
Luckhurst B W,England,7.33%,1,1,0,0,0,0,14,14,24.14,14.00,0,0,0201,Away,01
Marsh R W,Australia,7.37%,1,1,0,0,0,0,14,14,63.64,14.00,0,0,0201,Home,01
Old C M,England,6.28%,1,1,0,0,0,0,12,12,120.00,12.00,0,0,0201,Away,01
Jenner T J,Australia,6.32%,1,1,0,0,0,0,12,12,48.00,12.00,0,0,0201,Home,01
Denness M H,England,6.28%,1,1,0,0,0,0,12,12,50.00,12.00,0,0,0201,Away,01
Thomson J R,Australia,2.11%,1,1,0,0,0,0,4,4,25.00,4.00,0,0,0201,Home,01
Greig A W,England,1.57%,1,1,0,0,0,0,3,3,300.00,3.00,1,0,0201,Away,01
Edwards W J,Australia,1.05%,1,1,0,0,0,0,2,2,14.29,2.00,0,0,0201,Home,01
Redpath I R,Australia,1.05%,1,1,0,0,0,0,2,2,22.22,2.00,1,0,0201,Home,01
Underwood D L,England,0.52%,1,1,1,0,0,0,1*,1,50.00,-,0,0,0201,Away,01
Knott A P E,England,1.05%,1,1,1,0,0,0,2*,2,22.22,-,0,0,0201,Away,01
Lever P,England,,1,0,0,0,0,0,-,0,-,-,1,0,0201,Away,01
Hurst A G,Australia,0.53%,1,1,1,0,0,0,1*,1,33.33,-,0,0,0201,Home,01
Arnold G G,England,,1,0,0,0,0,0,-,0,-,-,0,0,0201,Away,01
Chappell G S,Australia,35.88%,3,3,1,0,1,0,125*,174,78.73,87.00,1,0,0209,Away,03
Amiss D L,England,25.77%,3,3,0,0,1,0,108,151,68.33,50.33,1,0,0209,Home,03
Robinson R D,Australia,16.91%,2,2,0,1,0,0,70,82,57.34,41.00,3,1,0209,Away,03
Brearley J M,England,19.97%,3,3,0,1,0,0,78,117,52.94,39.00,3,0,0209,Home,03
Old C M,England,13.65%,3,3,0,0,0,0,35,80,74.77,26.67,2,0,0209,Home,03
Serjeant C S,Australia,9.90%,2,2,0,0,0,0,46,48,38.10,24.00,1,0,0209,Away,03
Barlow G D,England,11.77%,3,3,0,0,0,0,42,69,65.09,23.00,1,0,0209,Home,03
Marsh R W,Australia,8.87%,2,2,0,0,0,0,42,43,130.30,21.50,4,0,0209,Away,03
Bright R J,Australia,3.51%,2,2,1,0,0,1,17*,17,43.59,17.00,1,0,0209,Away,03
O'Keeffe K J,Australia,3.30%,2,2,1,0,0,1,16*,16,42.11,16.00,0,0,0209,Away,03
Lever J K,England,5.12%,3,3,1,0,0,0,27*,30,30.00,15.00,0,0,0209,Home,03
Knott A P E,England,4.27%,3,3,1,0,0,1,21*,25,86.21,12.50,3,0,0209,Home,03
Greig A W,England,4.44%,3,3,0,0,0,1,22,26,47.27,8.67,1,0,0209,Home,03
Randall D W,England,4.27%,3,3,0,0,0,1,19,25,75.76,8.33,2,0,0209,Home,03
Willis R G D,England,1.19%,3,2,1,0,0,0,7,7,41.18,7.00,0,0,0209,Home,03
Hookes D W,Australia,2.89%,2,2,0,0,0,0,11,14,25.00,7.00,1,0,0209,Away,03
McCosker R B,Australia,2.47%,2,2,0,0,0,0,11,12,27.27,6.00,1,0,0209,Away,03
Walters K D,Australia,2.47%,2,2,0,0,0,1,12,12,50.00,6.00,1,0,0209,Away,03
Miller G,England,0.68%,1,1,0,0,0,0,4,4,100.00,4.00,0,0,0209,Home,03
Willey P,England,1.19%,2,2,0,0,0,0,6,7,31.82,3.50,0,0,0209,Home,03
Thomson J R,Australia,1.24%,2,2,0,0,0,0,3,6,40.00,3.00,1,0,0209,Away,03
Cosier G J,Australia,0.62%,1,1,0,0,0,0,3,3,27.27,3.00,0,0,0209,Away,03
Hughes K J,Australia,1.03%,2,2,0,0,0,0,3,5,29.41,2.50,2,0,0209,Away,03
Malone M F,Australia,1.03%,2,2,0,0,0,0,4,5,55.56,2.50,0,0,0209,Away,03
